"","X","PID","index","time_elapsed","block","reward_type","stimulus_left","stimulus_right","rating_left","rating_right","painting_left","painting_right","left_chosen","chosen_obj","unchosen_obj","explain_trial","explain_response","explain_rt"
"133",133,"c2yi6",8,758309,1,-1,21,4,73,65,"jessica-felicio-_cvwXhGqG-o-unsplash.jpg","barna-bartis-2x3vfVxwR7o-unsplash.jpg",1,21,4,1,"I like the cloudy editing they did to the picture it makes it seem mystical and the subject is telling a story with her expression and it is intriguing ",55.573
"134",134,"CvY1u",0,540956,1,-1,26,16,64,68,"juri-gianfrancesco-9EZadYaMzk4-unsplash.jpg","giano-currie-5-9YOsmf8IQ-unsplash.jpg",0,16,26,1,"This photograph is more attractive than other",17.735
"135",135,"CvY1u",1,564737,1,1,33,9,73,71,"olena-sergienko-0TSd6uCKTKc-unsplash.jpg","carlos-andres-gomez-vJuk8Y86mRw-unsplash.jpg",1,33,9,1,"This photograph is more attractive than other",2.514
"136",136,"CvY1u",10,676802,1,-1,34,28,78,74,"oliver-johnson-1TUIcKob7Zs-unsplash.jpg","justin-chen-J7Cf1Gch49E-unsplash.jpg",1,34,28,1,"This photograph is more attractive than other",3.428
"137",137,"CvY1u",12,692082,2,1,11,7,62,50,"christian-ferrer-8vT-DgHZDG4-unsplash.jpg","brooke-cagle-HRZUzoX1e6w-unsplash.jpg",1,11,7,1,"This photograph is more attractive than other",2.404
"138",138,"CvY1u",14,704093,2,1,44,12,59,68,"rikonavt-HQjfrvdTfak-unsplash.jpg","daniel-rigdon-dXmXKPP2L4E-unsplash.jpg",1,44,12,1,"This photograph is more attractive than other",2.938
"139",139,"CvY1u",15,712312,2,1,29,35,79,61,"leilani-angel-K84vnnzxmTQ-unsplash.jpg","oliver-ragfelt-khV4fTy6-D8-unsplash.jpg",0,35,29,1,"The photo background is amazing",13.123
"140",140,"CvY1u",19,749808,2,-1,8,4,73,84,"bruce-dixon-3M9WJQVHzog-unsplash.jpg","barna-bartis-2x3vfVxwR7o-unsplash.jpg",0,4,8,1,"The photographer absolutely despel the background",62.077
"141",141,"CvY1u",2,572986,1,-1,21,49,68,66,"jessica-felicio-_cvwXhGqG-o-unsplash.jpg","vicky-hladynets-_gDoyVv5F4c-unsplash.jpg",1,21,49,1,"This photograph is more attractive than other",2.085
"142",142,"CvY1u",21,819591,2,-1,3,36,84,76,"art-hauntington-jzY0KRJopEI-unsplash.jpg","ospan-ali-mGdA2fzjWLo-unsplash.jpg",1,3,36,1,"She looks more attractive than another person",20.857
"143",143,"CvY1u",23,847741,2,1,1,0,66,66,"aiony-haust-jmATI5Q_YgY-unsplash.jpg","abstral-official-cyOKLSgkgCE-unsplash.jpg",1,1,0,1,"This photograph is more attractive than other",2.121
"144",144,"CvY1u",5,592188,1,1,39,14,66,85,"philip-martin-5aGUyCW_PJw-unsplash.jpg","freddy-kearney-o-ioeoATbIM-unsplash.jpg",0,14,39,1,"The editing of the photograph is attractive",27.117
"145",145,"CvY1u",7,631347,1,-1,45,10,61,83,"sarah-noltner-pL5ZzPp1zqg-unsplash.jpg","charles-etoroma-95UF6LXe-Lo-unsplash.jpg",1,45,10,1,"The photographer give his full effort to take this photo",31.549
"158",158,"Gh7vV",0,394629,1,1,38,42,83,68,"petr-sevcovic-HzDF-rxlSeM-unsplash.jpg","prince-akachi-l3IHXOdMyHQ-unsplash.jpg",0,42,38,1,"It has a nice background a calming aesthetic and looks more like a work of art than the other one ",22.355
"159",159,"Gh7vV",10,559012,1,1,11,17,82,78,"christian-ferrer-8vT-DgHZDG4-unsplash.jpg","gleb-lukomets-paBzWCPN23k-unsplash.jpg",0,17,11,1,"Though I cant exactly tell this woman appears to be a transwoman and transwomen need more representation and aspirational models to inspire their transitions and come into their identities If shes not a transwoman Im sorry for assuming so but either way she conveys a very artistic aesthetic ",71.572
"160",160,"Gh7vV",14,644908,2,1,0,15,34,64,"abstral-official-cyOKLSgkgCE-unsplash.jpg","gabriel-silverio-u3WmDyKGsrY-unsplash.jpg",1,0,15,1,"The man has a lot of raw expression in his face and looks more authentic than the woman in the other photograph He looks like he has a story to tell ",23.587
"161",161,"Gh7vV",15,671364,2,1,20,29,62,57,"houcine-ncib-B4TjXnI0Y2c-unsplash.jpg","leilani-angel-K84vnnzxmTQ-unsplash.jpg",1,20,29,1,"The filtering colors and aesthetic create a more artistic eyecatching vibe ",23.66
"162",162,"Gh7vV",16,697676,2,-1,12,1,45,36,"daniel-rigdon-dXmXKPP2L4E-unsplash.jpg","aiony-haust-jmATI5Q_YgY-unsplash.jpg",0,1,12,1,"The photo is very detailed and less boring than the one on the left Her makeup is very well done and her color scheme is attention grabbing ",27.364
"163",163,"Gh7vV",18,729949,2,-1,22,21,32,81,"jessica-radanavong-mrYkTuAesKE-unsplash.jpg","jessica-felicio-_cvwXhGqG-o-unsplash.jpg",0,21,22,1,"I love the color scheme her hair her vibe the soft filters really I love everything about this photo ",20.02
"164",164,"Gh7vV",19,752509,2,-1,25,3,29,30,"joseph-gonzalez-iFgRcqHznqg-unsplash.jpg","art-hauntington-jzY0KRJopEI-unsplash.jpg",0,3,25,1,"She has a soft and pleasant facial expression and does not look too domineering ",19.799
"165",165,"Gh7vV",2,423621,1,-1,40,44,58,84,"prince-akachi-4Yv84VgQkRM-unsplash.jpg","rikonavt-HQjfrvdTfak-unsplash.jpg",1,40,44,1,"It looks more artistic and also the subject has a more pleasant face Plus it has a nice background color that complements the subjects clothing ",34.61
"166",166,"Gh7vV",21,777235,2,1,33,16,72,65,"olena-sergienko-0TSd6uCKTKc-unsplash.jpg","giano-currie-5-9YOsmf8IQ-unsplash.jpg",0,16,33,1,"The background colors are everything Plus her hairstyle is a whole vibe and I love those hoops ",18.006
"167",167,"Gh7vV",4,465154,1,1,14,4,65,45,"freddy-kearney-o-ioeoATbIM-unsplash.jpg","barna-bartis-2x3vfVxwR7o-unsplash.jpg",1,14,4,1,"This man looks like he has a story to tell He looks much more real and authentic than the man in the other photograph Plus the background is more attention grabbing ",28.2
"168",168,"Gh7vV",7,503204,1,-1,45,24,78,79,"sarah-noltner-pL5ZzPp1zqg-unsplash.jpg","joel-mott-LaK153ghdig-unsplash.jpg",0,24,45,1,"Her expression is lovely the background is great and the print on her outfit really pops You could use this for a travel brochure",22.071
"169",169,"Gh7vV",9,532308,1,-1,9,18,39,42,"carlos-andres-gomez-vJuk8Y86mRw-unsplash.jpg","good-faces-xmSWVeGEnJw-unsplash.jpg",1,9,18,1,"It has a more artistic aesthetic conveyed in the mans pose and expression plus the background color catches the eye ",23.44
"170",170,"iDB50",10,1375031,1,-1,33,41,52,73,"olena-sergienko-0TSd6uCKTKc-unsplash.jpg","prince-akachi-i2hoD-C2RUA-unsplash.jpg",0,41,33,1,"The picture looks more exotic and different people like to own things that look rare or exotic The background is blurry so it makes you wonder where the photo was taken The other picture I find not as intriguing or beautiful",158.472
"171",171,"iDB50",11,1538553,1,1,23,42,66,39,"joanna-nix-walkup-H4fEMshfwTE-unsplash.jpg","prince-akachi-l3IHXOdMyHQ-unsplash.jpg",0,42,23,1,"The photo looks vintage and it almost feels like the women is glaring into my sole The red trees in the background with the black women up front is very contrasting and makes you want to look at the picture more",104.247
"172",172,"iDB50",12,1715130,2,1,48,43,37,68,"velizar-ivanov-7ktP9yZA1g4-unsplash.jpg","raamin-ka-0qJBEzudn5E-unsplash.jpg",0,43,48,1,"The all black top hat clothing and nail polish is a little different than you usually see It also helps that the women is beautiful and smiling I felt more people would pick a smiling women over a frowning women",143.712
"173",173,"iDB50",15,1871443,2,-1,39,47,45,37,"philip-martin-5aGUyCW_PJw-unsplash.jpg","tyler-nix-ZGa9d1a_4tA-unsplash.jpg",0,47,39,1,"I felt that it was more photogenic and people would want a black man dressed in nice cloths over one in regular cloths The man looks very dapper and the orange tie grabs your eye more than the orange hat in the other pic",113.067
"174",174,"iDB50",16,1987764,2,1,30,27,73,68,"matheus-ferrero-pg_WCHWSdT8-unsplash.jpg","jurica-koletic-7YVZYZeITc8-unsplash.jpg",1,30,27,1,"I think this photo would sell more purely for the background and the red lipstick The big green leaves will make the nature lovers happy The women has very white skin and it makes everything around her pop specially the lipstick The other picture just looks like a school photo with not much going on ",218.875
"175",175,"iDB50",17,2210731,2,1,11,49,75,59,"christian-ferrer-8vT-DgHZDG4-unsplash.jpg","vicky-hladynets-_gDoyVv5F4c-unsplash.jpg",1,11,49,1,"I think this one would sell more because there is a lot more going on in it than the other It has more of a striking pose and a smoulding look that makes you want to get to know her more  The other picture looks like it is washed out in half of it so it does not look like a whole or complete photo",265.383
"176",176,"iDB50",19,2484067,2,1,45,14,54,64,"sarah-noltner-pL5ZzPp1zqg-unsplash.jpg","freddy-kearney-o-ioeoATbIM-unsplash.jpg",0,14,45,1,"When I see this picture it makes me wonder what kind of life this old man had and all the wisdom he could give I think people would want to look at this picture longer and come up with their own story of who he is",117.533
"177",177,"iDB50",23,2621192,2,-1,38,6,59,66,"petr-sevcovic-HzDF-rxlSeM-unsplash.jpg","ben-o-bro-C5XyLljkMrY-unsplash.jpg",0,6,38,1,"This one took me a longer to choose because both picture are handsome men smiling But I ultimately went with one on the right because thats where my eyes wanted to go back to The one on the right shows a man genuinely smiling and you can tell its not fake for a picture People like pictures that are natural and not trying too hard ",232.601
"178",178,"iDB50",4,738424,1,-1,34,10,70,64,"oliver-johnson-1TUIcKob7Zs-unsplash.jpg","charles-etoroma-95UF6LXe-Lo-unsplash.jpg",0,10,34,1,"I like that the background is white because it showcases how happy the man is and the picture invokes happiness in me The picture feels more real and candid The other picture just seems plain like you have seen it many times",147.43
"179",179,"iDB50",5,889763,1,-1,35,28,68,61,"oliver-ragfelt-khV4fTy6-D8-unsplash.jpg","justin-chen-J7Cf1Gch49E-unsplash.jpg",1,35,28,1,"The male has very striking blue eyes that catch the buyers attention He looks more professional like a model and not a man just taking a cute selfie Its just very eye catching",97.851
"180",180,"iDB50",6,993881,1,-1,17,26,52,71,"gleb-lukomets-paBzWCPN23k-unsplash.jpg","juri-gianfrancesco-9EZadYaMzk4-unsplash.jpg",1,17,26,1,"I like that she just looks natural in her environment and she doesnt have to try to look like shes looking at anything specific I like the monotone colors and it reminds of a modern Mona Lisa",104.451
"181",181,"iDB50",8,1107174,1,1,22,40,40,65,"jessica-radanavong-mrYkTuAesKE-unsplash.jpg","prince-akachi-4Yv84VgQkRM-unsplash.jpg",0,40,22,1,"I felt more people would buy it purely for the expression on the mans face and and the cloths he is wearing I feel like its cloths a black man would not usually wear and the colors really stand out with that background The other picture reminds me of any thug you could find in the street and take a picture of ",258.913
"182",182,"JMSfN",1,323945,1,-1,4,18,68,53,"barna-bartis-2x3vfVxwR7o-unsplash.jpg","good-faces-xmSWVeGEnJw-unsplash.jpg",1,4,18,1,"I thought it looked a little more professional and he had more happiness in his eyes ",16.311
"183",183,"JMSfN",11,446158,1,1,34,49,63,80,"oliver-johnson-1TUIcKob7Zs-unsplash.jpg","vicky-hladynets-_gDoyVv5F4c-unsplash.jpg",0,49,34,1,"He is radiating happiness The color is good and hes handsome and well put together ",14.962
"184",184,"JMSfN",15,474191,2,-1,11,37,65,45,"christian-ferrer-8vT-DgHZDG4-unsplash.jpg","pavel-anoshin-d0peGya6R5Y-unsplash.jpg",1,11,37,1,"This looks like a photo you can sell for a magazine or a blog ",11.934
"185",185,"JMSfN",16,488865,2,-1,3,45,50,60,"art-hauntington-jzY0KRJopEI-unsplash.jpg","sarah-noltner-pL5ZzPp1zqg-unsplash.jpg",1,3,45,1,"She has a unique look and this photo is far more professional looking ",18.391
"186",186,"JMSfN",20,517777,2,-1,21,31,46,58,"jessica-felicio-_cvwXhGqG-o-unsplash.jpg","mathilda-khoo-vLR0YP_otCo-unsplash.jpg",0,31,21,1,"She looks more interesting her eyes tell you theres a bigger story to be seen through this photo ",18.637
"187",187,"JMSfN",21,539180,2,1,36,13,46,50,"ospan-ali-mGdA2fzjWLo-unsplash.jpg","erik-lucatero-d2MSDujJl2g-unsplash.jpg",0,13,36,1,"Beautiful eyes I wish the background was different however the eyes intrigue ",19.158
"188",188,"JMSfN",22,563596,2,1,43,6,71,69,"raamin-ka-0qJBEzudn5E-unsplash.jpg","ben-o-bro-C5XyLljkMrY-unsplash.jpg",0,6,43,1,"The happiness in this photo is overwhelming I think that can be spread by this photo ",15.669
"189",189,"JMSfN",23,582512,2,1,41,25,66,64,"prince-akachi-i2hoD-C2RUA-unsplash.jpg","joseph-gonzalez-iFgRcqHznqg-unsplash.jpg",1,41,25,1,"She is beautiful the contrast with her head scarf is fantastic ",20.582
"190",190,"JMSfN",3,346662,1,1,47,29,52,50,"tyler-nix-ZGa9d1a_4tA-unsplash.jpg","leilani-angel-K84vnnzxmTQ-unsplash.jpg",1,47,29,1,"It looks crisp more professional ",7.416
"191",191,"JMSfN",4,359769,1,1,14,35,50,58,"freddy-kearney-o-ioeoATbIM-unsplash.jpg","oliver-ragfelt-khV4fTy6-D8-unsplash.jpg",0,35,14,1,"The contrast is better instead of a snapshot it looks like someone put more time into creating it ",16.085
"192",192,"JMSfN",5,380187,1,-1,2,28,54,56,"arjunsyah-TBUA5KHJn6k-unsplash.jpg","justin-chen-J7Cf1Gch49E-unsplash.jpg",1,2,28,1,"He looks happier in his eyes with the sunlight reflecting in back of him",15.17
"193",193,"JMSfN",8,406656,1,-1,32,44,65,65,"nathan-dumlao-ger61_TX6oI-unsplash.jpg","rikonavt-HQjfrvdTfak-unsplash.jpg",1,32,44,1,"I love the look of this photo  it looks like he just got done surfing in the ocean I love his eyes and his freckled skin He is unique ",28.29
"194",194,"l0I2Q",0,1550494,1,1,24,26,80,89,"joel-mott-LaK153ghdig-unsplash.jpg","juri-gianfrancesco-9EZadYaMzk4-unsplash.jpg",1,24,26,1,"This was really good everyone like this smile of future with natural beauty",42.692
"195",195,"l0I2Q",11,1819950,1,-1,29,33,65,87,"leilani-angel-K84vnnzxmTQ-unsplash.jpg","olena-sergienko-0TSd6uCKTKc-unsplash.jpg",0,33,29,1,"when seeing a photograph was awesome with great look more likes will follow on this photograph",49.328
"196",196,"l0I2Q",12,1879608,2,1,25,44,70,83,"joseph-gonzalez-iFgRcqHznqg-unsplash.jpg","rikonavt-HQjfrvdTfak-unsplash.jpg",0,44,25,1,"This photograph never seen before like this to capture more likeable and more strong in black lives people will sell this more and more good",39.899
"197",197,"l0I2Q",14,1926327,2,1,14,0,65,76,"freddy-kearney-o-ioeoATbIM-unsplash.jpg","abstral-official-cyOKLSgkgCE-unsplash.jpg",1,14,0,1,"This photograph shows that in the old age you never fall down you want to run more and more",30.91
"198",198,"l0I2Q",15,1960536,2,1,34,12,84,80,"oliver-johnson-1TUIcKob7Zs-unsplash.jpg","daniel-rigdon-dXmXKPP2L4E-unsplash.jpg",1,34,12,1,"this photograph is more likeable have unique beauty and awesome",26.985
"199",199,"l0I2Q",16,1991032,2,-1,28,49,74,71,"justin-chen-J7Cf1Gch49E-unsplash.jpg","vicky-hladynets-_gDoyVv5F4c-unsplash.jpg",1,28,49,1,"In this photograph have more uniqueness and awesome more effort with beauty the way of capture the photograph ",62.755
"200",200,"l0I2Q",2,1600054,1,1,36,5,79,85,"ospan-ali-mGdA2fzjWLo-unsplash.jpg","batel-studio-ttSRjiYG_WM-unsplash.jpg",1,36,5,1,"This photograph was totally black in background with a girl in traditional look",37.91
"201",201,"l0I2Q",21,2072345,2,-1,43,8,87,72,"raamin-ka-0qJBEzudn5E-unsplash.jpg","bruce-dixon-3M9WJQVHzog-unsplash.jpg",1,43,8,1,"This photograph make more happy always get more happiness when ever you see the photograph always give a smile",38.809
"202",202,"l0I2Q",22,2115195,2,-1,41,6,73,66,"prince-akachi-i2hoD-C2RUA-unsplash.jpg","ben-o-bro-C5XyLljkMrY-unsplash.jpg",1,41,6,1,"saw this photograph it gives more happy for everything even you in harder life",38.245
"203",203,"l0I2Q",3,1640991,1,1,27,3,67,73,"jurica-koletic-7YVZYZeITc8-unsplash.jpg","art-hauntington-jzY0KRJopEI-unsplash.jpg",1,27,3,1,"This photograph was make more impression compare to other photograph because the way of looking is really great with confidence",41.91
"204",204,"l0I2Q",7,1697660,1,-1,2,30,80,65,"arjunsyah-TBUA5KHJn6k-unsplash.jpg","matheus-ferrero-pg_WCHWSdT8-unsplash.jpg",1,2,30,1,"This photograph have more uniqueness because totally have lot of colorful in the photograph with naturally great",53.746
"205",205,"l0I2Q",9,1758255,1,-1,15,21,85,70,"gabriel-silverio-u3WmDyKGsrY-unsplash.jpg","jessica-felicio-_cvwXhGqG-o-unsplash.jpg",0,21,15,1,"This photograph have more unique compare to others because a girl looking a great with unique style the way of photograph really good",54.726
"206",206,"mBvvp",0,657231,1,1,34,35,60,55,"oliver-johnson-1TUIcKob7Zs-unsplash.jpg","oliver-ragfelt-khV4fTy6-D8-unsplash.jpg",0,35,34,1,"The picture is very intense and clear",19.465
"207",207,"mBvvp",11,1079756,1,-1,24,9,44,56,"joel-mott-LaK153ghdig-unsplash.jpg","carlos-andres-gomez-vJuk8Y86mRw-unsplash.jpg",1,24,9,1,"Happiness well captured",16.679
"208",208,"mBvvp",14,1112686,2,1,39,45,59,56,"philip-martin-5aGUyCW_PJw-unsplash.jpg","sarah-noltner-pL5ZzPp1zqg-unsplash.jpg",0,45,39,1,"Well composed",13.356
"209",209,"mBvvp",16,1135265,2,1,4,8,44,61,"barna-bartis-2x3vfVxwR7o-unsplash.jpg","bruce-dixon-3M9WJQVHzog-unsplash.jpg",1,4,8,1,"Clear composed",15.774
"210",210,"mBvvp",20,1168605,2,-1,43,23,57,58,"raamin-ka-0qJBEzudn5E-unsplash.jpg","joanna-nix-walkup-H4fEMshfwTE-unsplash.jpg",0,23,43,1,"Great capture",14.083
"211",211,"mBvvp",21,1185886,2,-1,7,29,58,53,"brooke-cagle-HRZUzoX1e6w-unsplash.jpg","leilani-angel-K84vnnzxmTQ-unsplash.jpg",0,29,7,1,"clear and sharp",9.428
"212",212,"mBvvp",22,1199497,2,-1,37,15,58,44,"pavel-anoshin-d0peGya6R5Y-unsplash.jpg","gabriel-silverio-u3WmDyKGsrY-unsplash.jpg",1,37,15,1,"Very intense capture",22.655
"213",213,"mBvvp",23,1225627,2,1,16,48,56,60,"giano-currie-5-9YOsmf8IQ-unsplash.jpg","velizar-ivanov-7ktP9yZA1g4-unsplash.jpg",1,16,48,1,"Good compose",14.585
"214",214,"mBvvp",4,698345,1,-1,33,14,63,61,"olena-sergienko-0TSd6uCKTKc-unsplash.jpg","freddy-kearney-o-ioeoATbIM-unsplash.jpg",0,14,33,1,"The emotion is captured very  well",21.576
"215",215,"mBvvp",5,724148,1,-1,20,36,50,50,"houcine-ncib-B4TjXnI0Y2c-unsplash.jpg","ospan-ali-mGdA2fzjWLo-unsplash.jpg",0,36,20,1,"Good compose",14.25
"216",216,"mBvvp",7,747286,1,1,1,30,61,57,"aiony-haust-jmATI5Q_YgY-unsplash.jpg","matheus-ferrero-pg_WCHWSdT8-unsplash.jpg",1,1,30,1,"Very clear emotion capture",118.117
"217",217,"mBvvp",8,869068,1,1,13,22,44,50,"erik-lucatero-d2MSDujJl2g-unsplash.jpg","jessica-radanavong-mrYkTuAesKE-unsplash.jpg",1,13,22,1,"Emotion in eyes",199.655
"218",218,"NWBJA",0,384408,1,1,43,42,50,53,"raamin-ka-0qJBEzudn5E-unsplash.jpg","prince-akachi-l3IHXOdMyHQ-unsplash.jpg",1,43,42,1,"I like the color palette more",13.974
"219",219,"NWBJA",11,502405,1,1,44,40,50,47,"rikonavt-HQjfrvdTfak-unsplash.jpg","prince-akachi-4Yv84VgQkRM-unsplash.jpg",1,44,40,1,"her expression is better looks more artistic",21.494
"220",220,"NWBJA",13,532965,2,1,34,48,50,43,"oliver-johnson-1TUIcKob7Zs-unsplash.jpg","velizar-ivanov-7ktP9yZA1g4-unsplash.jpg",1,34,48,1,"better background the yellow compliments her features well",21.28
"221",221,"NWBJA",14,556753,2,-1,0,10,35,50,"abstral-official-cyOKLSgkgCE-unsplash.jpg","charles-etoroma-95UF6LXe-Lo-unsplash.jpg",0,10,0,1,"he has a better expression the smile makes me happy",16.12
"222",222,"NWBJA",19,584949,2,-1,3,23,57,50,"art-hauntington-jzY0KRJopEI-unsplash.jpg","joanna-nix-walkup-H4fEMshfwTE-unsplash.jpg",1,3,23,1,"she is really pretty",11.413
"223",223,"NWBJA",20,599516,2,-1,46,38,50,55,"stefan-stefancik-QXevDflbl8A-unsplash.jpg","petr-sevcovic-HzDF-rxlSeM-unsplash.jpg",0,38,46,1,"I really like his smile and dimples ",12.095
"224",224,"NWBJA",22,616490,2,-1,22,7,36,50,"jessica-radanavong-mrYkTuAesKE-unsplash.jpg","brooke-cagle-HRZUzoX1e6w-unsplash.jpg",0,7,22,1,"she has a better vibe and the color palette is better",20.786
"225",225,"NWBJA",23,639962,2,1,20,28,50,39,"houcine-ncib-B4TjXnI0Y2c-unsplash.jpg","justin-chen-J7Cf1Gch49E-unsplash.jpg",1,20,28,1,"better lighting I also like her eyes and freckles",22.617
"226",226,"NWBJA",3,408758,1,1,6,35,46,55,"ben-o-bro-C5XyLljkMrY-unsplash.jpg","oliver-ragfelt-khV4fTy6-D8-unsplash.jpg",0,35,6,1,"he has nice eyes it made an impression on me",20.338
"227",227,"NWBJA",4,433110,1,-1,16,18,42,50,"giano-currie-5-9YOsmf8IQ-unsplash.jpg","good-faces-xmSWVeGEnJw-unsplash.jpg",0,18,16,1,"the minimal color palette is more aesthetic",20.296
"228",228,"NWBJA",6,459350,1,-1,30,37,45,41,"matheus-ferrero-pg_WCHWSdT8-unsplash.jpg","pavel-anoshin-d0peGya6R5Y-unsplash.jpg",1,30,37,1,"I like the leaf background more",15.664
"229",229,"NWBJA",7,477875,1,1,27,29,50,41,"jurica-koletic-7YVZYZeITc8-unsplash.jpg","leilani-angel-K84vnnzxmTQ-unsplash.jpg",0,29,27,1,"He gives off a better vibe",12.64
"230",230,"OgF5m",1,478226,1,-1,47,35,55,37,"tyler-nix-ZGa9d1a_4tA-unsplash.jpg","oliver-ragfelt-khV4fTy6-D8-unsplash.jpg",1,47,35,1,"It was just my first instinct This photo stood out to me more",28.773
"231",231,"OgF5m",11,678691,1,-1,26,31,36,42,"juri-gianfrancesco-9EZadYaMzk4-unsplash.jpg","mathilda-khoo-vLR0YP_otCo-unsplash.jpg",0,31,26,1,"This photo looks less fake and less staged to me ",13.742
"232",232,"OgF5m",14,706490,2,-1,12,23,63,41,"daniel-rigdon-dXmXKPP2L4E-unsplash.jpg","joanna-nix-walkup-H4fEMshfwTE-unsplash.jpg",0,23,12,1,"This one looks more natural ",14.956
"233",233,"OgF5m",16,727428,2,1,36,21,60,64,"ospan-ali-mGdA2fzjWLo-unsplash.jpg","jessica-felicio-_cvwXhGqG-o-unsplash.jpg",0,21,36,1,"I like the color in this one and the cloudy stuff in front of her",27.256
"234",234,"OgF5m",17,757945,2,-1,18,30,54,36,"good-faces-xmSWVeGEnJw-unsplash.jpg","matheus-ferrero-pg_WCHWSdT8-unsplash.jpg",1,18,30,1,"I think this person looks less staged",25.104
"235",235,"OgF5m",18,786956,2,1,13,44,64,62,"erik-lucatero-d2MSDujJl2g-unsplash.jpg","rikonavt-HQjfrvdTfak-unsplash.jpg",1,13,44,1,"The lighting looks more natural in this one",23.326
"236",236,"OgF5m",19,813291,2,1,45,46,61,58,"sarah-noltner-pL5ZzPp1zqg-unsplash.jpg","stefan-stefancik-QXevDflbl8A-unsplash.jpg",0,46,45,1,"This one just caught my attention more",13.639
"237",237,"OgF5m",2,511594,1,-1,37,22,55,58,"pavel-anoshin-d0peGya6R5Y-unsplash.jpg","jessica-radanavong-mrYkTuAesKE-unsplash.jpg",1,37,22,1,"I think the person in this photo looks more natural and it looks more candid",18.436
"238",238,"OgF5m",23,838976,2,1,33,32,41,65,"olena-sergienko-0TSd6uCKTKc-unsplash.jpg","nathan-dumlao-ger61_TX6oI-unsplash.jpg",0,32,33,1,"I think this guys unique features make this photo stand out more",21.439
"239",239,"OgF5m",3,534070,1,-1,48,19,62,38,"velizar-ivanov-7ktP9yZA1g4-unsplash.jpg","ha-nguy-n-OFSQ6bHjFjs-unsplash.jpg",0,19,48,1,"Again I think this photo looks more like a candid shot and I like that",28.745
"240",240,"OgF5m",7,581421,1,1,9,0,39,59,"carlos-andres-gomez-vJuk8Y86mRw-unsplash.jpg","abstral-official-cyOKLSgkgCE-unsplash.jpg",0,0,9,1,"The person in this phot looks more natural and I just like the lighting more",32.897
"241",241,"OgF5m",8,619014,1,1,39,17,54,63,"philip-martin-5aGUyCW_PJw-unsplash.jpg","gleb-lukomets-paBzWCPN23k-unsplash.jpg",1,39,17,1,"I like the background more I feel like it makes me feel like I know him a little better",46.37
"242",242,"Ooi3v",0,311389,1,-1,17,16,61,53,"gleb-lukomets-paBzWCPN23k-unsplash.jpg","giano-currie-5-9YOsmf8IQ-unsplash.jpg",1,17,16,1,"The composition is more interesting and has a more classic color scheme",28.61
"243",243,"Ooi3v",11,455383,1,-1,1,21,59,58,"aiony-haust-jmATI5Q_YgY-unsplash.jpg","jessica-felicio-_cvwXhGqG-o-unsplash.jpg",0,21,1,1,"The smoke effect in the foreground and background are more interesting",28.046
"244",244,"Ooi3v",14,498333,2,1,36,7,59,50,"ospan-ali-mGdA2fzjWLo-unsplash.jpg","brooke-cagle-HRZUzoX1e6w-unsplash.jpg",1,36,7,1,"The womans outfit and accessories against the black background",20.398
"245",245,"Ooi3v",16,524765,2,1,4,30,54,49,"barna-bartis-2x3vfVxwR7o-unsplash.jpg","matheus-ferrero-pg_WCHWSdT8-unsplash.jpg",0,30,4,1,"The other photo looks too formal and boring",26.871
"246",246,"Ooi3v",17,554327,2,-1,34,31,53,58,"oliver-johnson-1TUIcKob7Zs-unsplash.jpg","mathilda-khoo-vLR0YP_otCo-unsplash.jpg",0,31,34,1,"The contrast emotion and headscarf",39.926
"247",247,"Ooi3v",18,598019,2,-1,2,29,61,52,"arjunsyah-TBUA5KHJn6k-unsplash.jpg","leilani-angel-K84vnnzxmTQ-unsplash.jpg",1,2,29,1,"The sunlight peering through and the other photo looks like a website photo",20.977
"248",248,"Ooi3v",20,625388,2,1,38,19,51,61,"petr-sevcovic-HzDF-rxlSeM-unsplash.jpg","ha-nguy-n-OFSQ6bHjFjs-unsplash.jpg",0,19,38,1,"The background and it looks less like a website photo or headshot",25.295
"249",249,"Ooi3v",22,658438,2,1,18,44,58,61,"good-faces-xmSWVeGEnJw-unsplash.jpg","rikonavt-HQjfrvdTfak-unsplash.jpg",0,44,18,1,"The contrast blurred background and her looking away from the camera",34.491
"250",250,"Ooi3v",3,351968,1,1,12,33,56,56,"daniel-rigdon-dXmXKPP2L4E-unsplash.jpg","olena-sergienko-0TSd6uCKTKc-unsplash.jpg",1,12,33,1,"I enjoy the lighting and colors more",12.992
"251",251,"Ooi3v",5,371581,1,1,47,48,53,54,"tyler-nix-ZGa9d1a_4tA-unsplash.jpg","velizar-ivanov-7ktP9yZA1g4-unsplash.jpg",0,48,47,1,"The other photo looks like a stock or business photo",19.213
"252",252,"Ooi3v",6,394236,1,-1,23,20,50,58,"joanna-nix-walkup-H4fEMshfwTE-unsplash.jpg","houcine-ncib-B4TjXnI0Y2c-unsplash.jpg",0,20,23,1,"The freckles and detail give it an extra flair",18.497
"253",253,"Ooi3v",9,423590,1,-1,41,27,55,50,"prince-akachi-i2hoD-C2RUA-unsplash.jpg","jurica-koletic-7YVZYZeITc8-unsplash.jpg",1,41,27,1,"The color of the womans scarf mixed with the background",24.413
